"customer_number","customer_name","address_1","ppc_phone","pricing_tier","ppc_extension"
"2003","Wholesale Partner","","","W",""
"2006","Wholesale Partner","","","W",""
"2007","Wholesale Partner","","","W",""
"2008","Wholesale Partner","","","W",""
"2009","Wholesale Partner","","","W",""
"2014","Wholesale Partner","","","W",""
"2018","Wholesale Partner","","","W",""
"2026","Wholesale Partner","","","W",""
"2027","Wholesale Partner","","","W",""
"11326","Melloy Nissan","7707 Lomas Blvd NE","","R",""
"11950","Mark Thomas Motors Hyundai","2425 Santiam Hwy SE","","R",""
"13497","Capitol Chevrolet","6200 S IH 35","","R",""
"14264","Rafferty Subaru","4700 West Chester Pike","","R",""
"14446","Ed Morse Cadillac Delray","2300 S Federal Hwy","","R",""
"15057","York's of Houlton","U.S. Rte. #1","","R",""
"16370","Charles Gabus Ford","4545 Merle Hay Road","","R",""
"16591","Hardin Buick GMC","1321 Auto Center Drive","","R",""
"17605","Toyota Lake City","13355 Lake City Way NE","","R",""
"19412","Hoehn Motors","5475 Car Country Drive","","R",""
"20712","Sonora Nissan","2000 E 32nd St","","R",""
"21336","M'Lady Nissan","5656 Northwest Highway","","R",""
"21466","Bill Pierre Ford","11525 Lake City Way NE","","R",""
"23715","Astro @ Exit 132 Buick GMC","2238 White Hall Blvd","","R",""
"24066","Cascade Auto Center","148 Easy Street","","R",""
"28655","Downtown LA Motors MBZ","1801 South Figueroa","","R",""
"30267","Jack Miller Kia","2900 Burlington","","R",""
"32490","Findlay Cadillac","993 Auto Show Drive","","R",""
"34492","Dick Smith Ford of Columbia","2800 Two Notch Road","","R",""
"34518","Bradshaw Infiniti","2448 Laurens Road","","R",""
"39211","Mark Mitsubishi Glendale","1901 E Bell Road","","R",""
"39458","Lexus of Tucson on Speedway","4373 Speedway Blvd","","R",""
"40459","Darby Buick-Pontiac-GMC, Inc","1455 South Tamiami Trail","","R",""
"47271","ED Shults Hyundai Ford Lincoln","2257 Washington Street","","R",""
"47921","JP Motors Inc","3675 Frontage Road","","R",""
"48116","Bill Black Automotive","601 E. Bessemer Avenue","","R",""
"50222","Subaru of Jacksonville","10800 Atlantic Blvd.","","R",""
"51964","Marin Honda","2 Shoreline Parkway","","R",""
"54239","Butler Ford","1977 Highway 99 North","","R",""
"61584","Larry H. Miller Volkswagen Lakewood","8303 W. Colfax Avenue","","R",""
"66056","Los Gatos Acura","16151 Los Gatos Boulevard","","R",""
"69670","Fernelius Toyota Chrysler Dodge","11283 Straits Hwy","","R",""
"73154","Marlboro Nissan","740 Boston Post Rd E","","R",""
"76261","Muzi Ford","557 Highland Ave","","R",""
"79394","Berlin City's GM Superstore","545 Main St","","R",""
"79966","Singer Subaru","77 Plaistow Road","","R",""
"80265","Goodwin Chevrolet","195 Pleasant St","","R",""
"80447","Prime Toyota","792 Portland Road","","R",""
"89443","Lexus of Englewood","53 Engle St","","R",""
"90327","Ray Catena Lexus of Monmouth","2135 State Route 35","","R",""
"92381","Lexus of Atlantic City","3169 Fire Rd","","R",""
"95592","Mercedes Benz of White Plains","50 Bank Street","","R",""
"96619","Jaguar of Great Neck","732 Northern Blvd.","","R",""
"96645","North Bay Cadillac Buick GMC","720 Northern Blvd","","R",""
"102612","Christopher Chevrolet Buick","1111 Wicker St","","R",""
"106941","Vision Hyundai Canandaigua","2440 State Route 332","","R",""
"107916","Vision Hyundai","2525 W Henrietta Rd","","R",""
"108592","Elm Chevrolet","301 E Church St","","R",""
"113714","New Motors Inc","8670 Peach St","","R",""
"132889","Rick Woodson Honda","3311 Peters Creek Rd Nw","","R",""
"134787","C O Motors","516 MacCorkle Avenue","","R",""
"138934","Crossroads Ford of Wake Forest Inc","10101 Capital Blvd","","R",""
"139831","Honda Of Roanoke Rapids","403 Premier Blvd.","","R",""
"142535","Capital Ford Lincoln of Wilmington","4222 Oleander Drive","","R",""
"142860","Hendrick Toyota Scion Wilmington","5640 Market St","","R",""
"142873","Sale Automall of Kinston","1053 Hwy 258 North","","R",""
"145057","Dick Smith Nissan of Lexington","5536 Sunset Blvd","","R",""
"145525","Dick Smith Nissan of St. Andrews","3670 A Fernandina Rd.","","R",""
"145603","Dick Smith Infiniti of St. Andrews","3670 B Fernandina Rd","","R",""
"146565","Dick Smith Chevrolet of Moncks Corner","1601 Hwy 52","","R",""
"147319","Grand Strand Nissan","4701 Highway 501","","R",""
"151258","Hennessy Jaguar of Buckhead","3040 Piedmont Rd NE","","R",""
"154495","Fiat of Savannah","14080 Abercorn St","","R",""
"156068","Carl Gregory Chrysler Jeep Dodge Northlake","3000 Northlake Parkway #100","","R",""
"156640","Gary Yeomans Ford","1420 Tomoka Farms Rd","","R",""
"162074","Ed Morse Bayview Cadillac","1240 N Federal Hwy","","R",""
"162490","Ed Morse Honda North","3790 W Blue Heron Blvd","","R",""
"163114","Ed Morse Cadillac Brandon","11020 Causeway Blvd","","R",""
"163322","Ed Morse Cadillac Tampa","101 E Fletcher Ave","","R",""
"166650","Ed Morse Auto Plaza","10133 US Highway 19","","R",""
"166897","City Kia","9550 S. Orange Blossom Trail","","R",""
